2025-10-17 17:01:27,066 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 17:01:27,066 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 17:01:27,066 | CPiwigoManager | INFO | piwigo_login:275 | Tentative de connexion à Piwigo... | Extra: {}
2025-10-17 17:01:27,348 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:01:27,348 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:01:27,348 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:01:27,348 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:01:27,348 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:01:27,348 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:01:27,348 | CPiwigoManager | INFO | piwigo_login:279 | Connexion à Piwigo réussie | Extra: {}
2025-10-17 17:01:28,414 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 738683f643... | Extra: {}
2025-10-17 17:01:28,414 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 738683f643... | Extra: {}
2025-10-17 17:01:28,414 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 738683f643... | Extra: {}
2025-10-17 17:01:28,414 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 738683f643... | Extra: {}
2025-10-17 17:01:28,414 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 738683f643... | Extra: {}
2025-10-17 17:01:28,414 | CPiwigoManager | INFO | piwigo_open_session:304 | Session Piwigo ouverte, token obtenu: 738683f643... | Extra: {}
