2025-09-30 12:46:30,801 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 159dda64 | Extra: {}
2025-09-30 12:46:30,801 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 159dda64 | Extra: {}
2025-09-30 12:46:30,807 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: dcc38e3e) | Extra: {}
2025-09-30 12:46:30,807 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: dcc38e3e) | Extra: {}
2025-09-30 12:46:30,892 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:46:30,892 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:46:30,894 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:46:30,894 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:46:30,896 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: dcc38e3e, durée: 0.09s) | Extra: {}
2025-09-30 12:46:30,896 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: dcc38e3e, durée: 0.09s) | Extra: {}
2025-09-30 12:46:30,898 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: cf5c163b) | Extra: {}
2025-09-30 12:46:30,898 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: cf5c163b) | Extra: {}
2025-09-30 12:46:45,959 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:46:45,959 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:46:45,964 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: cf5c163b, durée: 15.07s) | Extra: {}
2025-09-30 12:46:45,964 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: cf5c163b, durée: 15.07s) | Extra: {}
2025-09-30 12:48:47,214 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 8558c027 | Extra: {}
2025-09-30 12:48:47,218 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: 22d82e2a) | Extra: {}
2025-09-30 12:48:47,318 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:48:47,321 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:48:47,325 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: 22d82e2a, durée: 0.11s) | Extra: {}
2025-09-30 12:48:47,327 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 96f2f945) | Extra: {}
2025-09-30 12:48:47,406 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 12:48:47,407 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 96f2f945, durée: 0.08s) | Extra: {}
2025-09-30 12:53:09,238 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: bacd20e1 | Extra: {}
2025-09-30 12:53:09,247 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: 1d61bedd) | Extra: {}
2025-09-30 12:53:09,339 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 12:53:09,340 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 12:53:09,341 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: 1d61bedd, durée: 0.09s) | Extra: {}
2025-09-30 12:53:09,346 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 0aa41ab4) | Extra: {}
2025-09-30 12:53:09,425 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
